T,TM,tm,H,P,VV,V,VM
28.3,32,25,67,0,4.7,10.9,22.2
28.1,32.8,23,58,0,4.5,11.3,25.9
28,33,24,69,0,4.5,11.9,22.2
28.8,33.6,24.6,65,0,3.9,10.2,20.6
,,,,,,,
,,,,,,,
,,,,,,,
28,31.3,24.6,77,0,4.2,10.4,22.2
27.8,32,25,73,0,3.7,10,22.2
28,32.1,24.3,61,0,4.5,9.4,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27,31,23,71,0,4.3,8.3,18.3
27.2,31,22.6,65,0,4.2,10.2,25.9
27.2,31,22.4,70,0,4.2,10.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
28.3,32,25.6,70,0,3.9,11.5,24.1
29.2,33.3,24.6,75,0,3.5,9.6,18.3
31.9,39,27.8,53,-,3.4,10.4,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29.7,33.8,25.6,69,0,4,10.4,24.1
30.2,35.7,26,66,0,4.2,11.1,24.1
29.6,33.5,26.4,74,0,3.9,11.1,22.2
,,,,,,,
,,,,,,,
,,,,,,,
29.8,33.3,27,73,0,3.5,10.7,24.1
29.6,33.3,25.8,72,0,4,10.9,24.1
29.7,35.4,27,66,0,4.2,10.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
31.3,35,27.6,62,0,2.9,9.8,22.2
31.1,35.6,28.7,69,0,3.5,10.4,22.2
30.6,34.6,28,70,0,4,10.7,22.2
,,,,,,,
,,,,,,,
,,,,,,,
29.9,33.5,27,66,0,3.9,12,22.2
29.9,33,27,65,0,4.2,13.1,27.8
29.9,33.8,27.4,64,0,4.5,12.6,24.1
,,,,,,,
,,,,,,,
,,,,,,,
31.8,35.8,29,69,0,3.4,11.5,24.1
30.9,34.6,28,74,0,3.1,11.7,20.6
30.4,34.1,28,74,0,3.5,12,20.6
,,,,,,,
,,,,,,,
,,,,,,,
30.3,33.6,27.4,70,0,4.7,13,24.1
30.6,33.8,28.4,71,0,4.3,9.6,22.2
